KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",Inhibitor,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",Modulator,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",CAR-T-Cell-Therapy,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",Activator,1.0
"MAPK signaling pathway, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, FoxO signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Dorso-ventral axis formation, Focal adhesion, Adherens junction, Gap junction, Regulation of actin cytoskeleton, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Epithelial cell signaling in Helicobacter pylori infection, Hepatitis C, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6D8E, 6B3S, 6ARU, 5ZWJ, 5YU9",Suppressor,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway",Immunoglobulin,,"5WT9, 5JXE, 5IUS, 5GGS, 5GGR",Inhibitor,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway",Immunoglobulin,,"5WT9, 5JXE, 5IUS, 5GGS, 5GGR",.,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway",Immunoglobulin,,"5WT9, 5JXE, 5IUS, 5GGS, 5GGR",Modulator,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway",Immunoglobulin,,"5WT9, 5JXE, 5IUS, 5GGS, 5GGR",Antagonist,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway",Immunoglobulin,,"5WT9, 5JXE, 5IUS, 5GGS, 5GGR",antagonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,5EM9,Agonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,5EM9,Modulator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,5EM9,Antagonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,5EM9,Inhibitor,1.0
"Pyrimidine metabolism, Drug metabolism - other enzymes, Metabolic pathways, Bladder cancer",Pentosyltransferase,Transferases,"2WK6, 2WK5, 2J0F, 1UOU",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Antagonist,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Agonist,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Binder,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Modulator,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Blocker,1.0
"Neuroactive ligand-receptor interaction, Glucagon signaling pathway",GPCR secretin,,"5XEZ, 5EE7, 4LF3, 4L6R, 4ERS",Co-agonist,1.0
Hematopoietic cell lineage,Immunoglobulin,,"5J1A, 4X6F, 4X6E, 4X6D, 4X6C",Binder,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Thyroid hormone synthesis, Autoimmune thyroid disease",GPCR rhodopsin,,"3G04, 2XWT, 1XUM",Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Thyroid hormone synthesis, Autoimmune thyroid disease",GPCR rhodopsin,,"3G04, 2XWT, 1XUM",Binder,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Thyroid hormone synthesis, Autoimmune thyroid disease",GPCR rhodopsin,,"3G04, 2XWT, 1XUM",Modulator,1.0
"Endocytosis, Pathways in cancer, Thyroid cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6FEK, 5FM3, 5FM2, 5AMN, 4UX8",Inhibitor,1.0
"Endocytosis, Pathways in cancer, Thyroid cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6FEK, 5FM3, 5FM2, 5AMN, 4UX8",Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,"6B73, 4DJH, 2IQN, 2A0D",Agonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,"6B73, 4DJH, 2IQN, 2A0D",Antagonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,"6B73, 4DJH, 2IQN, 2A0D",Inhibitor,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,"6B73, 4DJH, 2IQN, 2A0D",Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,"6B73, 4DJH, 2IQN, 2A0D",.,1.0
Wnt signaling pathway,,,"3SOV, 2K8P",Modulator,1.0
Wnt signaling pathway,,,"3SOV, 2K8P",.,1.0
"Steroid hormone biosynthesis, Arachidonic acid metabolism, Metabolic pathways, Ovarian steroidogenesis",Short-chain dehydrogenases reductase,Oxidoreductases,"6GXK, 6F78, 6F2U, 5JM5, 5HNU",Inhibitor,1.0
"Steroid hormone biosynthesis, Arachidonic acid metabolism, Metabolic pathways, Ovarian steroidogenesis",Short-chain dehydrogenases reductase,Oxidoreductases,"6GXK, 6F78, 6F2U, 5JM5, 5HNU",Modulator,1.0
"Steroid hormone biosynthesis, Arachidonic acid metabolism, Metabolic pathways, Ovarian steroidogenesis",Short-chain dehydrogenases reductase,Oxidoreductases,"6GXK, 6F78, 6F2U, 5JM5, 5HNU",Inhibitor; Antagonist; Blocker,1.0
"Pyrimidine metabolism, Metabolic pathways",CH-CH donor oxidoreductase,Oxidoreductases,"6FMD, 6ET4, 6CJG, 6CJF, 5ZFB",Modulator,1.0
"Pyrimidine metabolism, Metabolic pathways",CH-CH donor oxidoreductase,Oxidoreductases,"6FMD, 6ET4, 6CJG, 6CJF, 5ZFB",Inhibitor,1.0
Renin-angiotensin system,Peptidase,Hydrolases,"6I3F, 5VRP, 5VPM, 5V8V, 5TMK",Inhibitor,1.0
Renin-angiotensin system,Peptidase,Hydrolases,"6I3F, 5VRP, 5VPM, 5V8V, 5TMK",Modulator,1.0
Renin-angiotensin system,Peptidase,Hydrolases,"6I3F, 5VRP, 5VPM, 5V8V, 5TMK",Agonist,1.0
"Pathways in cancer, Small cell lung cancer, Non-small cell lung cancer",Nuclear hormone receptor,,"5UAN, 4JYI, 4JYH, 4JYG, 4DM8",Agonist,1.0
"Pathways in cancer, Small cell lung cancer, Non-small cell lung cancer",Nuclear hormone receptor,,"5UAN, 4JYI, 4JYH, 4JYG, 4DM8",Antagonist,1.0
"Pathways in cancer, Small cell lung cancer, Non-small cell lung cancer",Nuclear hormone receptor,,"5UAN, 4JYI, 4JYH, 4JYG, 4DM8",Inhibitor,1.0
"Pathways in cancer, Small cell lung cancer, Non-small cell lung cancer",Nuclear hormone receptor,,"5UAN, 4JYI, 4JYH, 4JYG, 4DM8",Modulator,1.0
"Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Jak-STAT signaling pathway, T cell receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Chagas disease (American trypanosomiasis), Measles, HTLV-I infection, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection, Graft-versus-host disease",Cytokine: interleukin,,"5UTZ, 5M5E, 5LQB, 4NEM, 4NEJ",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Jak-STAT signaling pathway, T cell receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Chagas disease (American trypanosomiasis), Measles, HTLV-I infection, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection, Graft-versus-host disease",Cytokine: interleukin,,"5UTZ, 5M5E, 5LQB, 4NEM, 4NEJ",Modulator,1.0
"Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Jak-STAT signaling pathway, T cell receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Chagas disease (American trypanosomiasis), Measles, HTLV-I infection, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection, Graft-versus-host disease",Cytokine: interleukin,,"5UTZ, 5M5E, 5LQB, 4NEM, 4NEJ",.,1.0
"Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Jak-STAT signaling pathway, T cell receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Chagas disease (American trypanosomiasis), Measles, HTLV-I infection, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection, Graft-versus-host disease",Cytokine: interleukin,,"5UTZ, 5M5E, 5LQB, 4NEM, 4NEJ",Agonist,1.0
"Purine metabolism, cAMP signaling pathway, Morphine addiction",Phosphoric diester hydrolase,Hydrolases,"3TVX, 3I8V, 2QYK",Inhibitor,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",Inhibitor,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",Activator,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",Modulator,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",.,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",Replacement,1.0
"Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",Carbon-carbon lyase,Lyases,"3RCH, 3RBL, 3RBF",Cofactor,1.0
"Tyrosine metabolism, Metabolic pathways, Dopaminergic synapse, Prolactin signaling pathway, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Paired donor oxygen oxidoreductase,Oxidoreductases,"4J6S, 2XSN",Inhibitor,1.0
"Tyrosine metabolism, Metabolic pathways, Dopaminergic synapse, Prolactin signaling pathway, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Paired donor oxygen oxidoreductase,Oxidoreductases,"4J6S, 2XSN",Modulator,1.0
"Tyrosine metabolism, Metabolic pathways, Dopaminergic synapse, Prolactin signaling pathway, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Paired donor oxygen oxidoreductase,Oxidoreductases,"4J6S, 2XSN",.,1.0
"Tyrosine metabolism, Metabolic pathways, Dopaminergic synapse, Prolactin signaling pathway, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Paired donor oxygen oxidoreductase,Oxidoreductases,"4J6S, 2XSN",Binder,1.0
"Tyrosine metabolism, Metabolic pathways, Dopaminergic synapse, Prolactin signaling pathway, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Paired donor oxygen oxidoreductase,Oxidoreductases,"4J6S, 2XSN",Cofactor,1.0
"PI3K-Akt signaling pathway, Osteoclast differentiation, Signaling pathways regulating pluripotency of stem cells, Jak-STAT signaling pathway, Leishmaniasis, Toxoplasmosis, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Influenza A, HTLV-I infection, Herpes simplex infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Pancreatic cancer",Kinase,Transferases,"6N7D, 6N7C, 6N7B, 6N7A, 6N79",Inhibitor,1.0
"PI3K-Akt signaling pathway, Osteoclast differentiation, Signaling pathways regulating pluripotency of stem cells, Jak-STAT signaling pathway, Leishmaniasis, Toxoplasmosis, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Influenza A, HTLV-I infection, Herpes simplex infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Pancreatic cancer",Kinase,Transferases,"6N7D, 6N7C, 6N7B, 6N7A, 6N79",Modulator,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, Pathways in cancer, Melanoma",Growth factor,,1NUN,Modulator,0.0
"Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of antibiotics, Carbon metabolism, Central carbon metabolism in cancer",CH-OH donor oxidoreductase,Oxidoreductases,"6.00E+08, 6.00E+07, 5UKW, 2BHL, 2BH9",Inhibitor,1.0
"Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of antibiotics, Carbon metabolism, Central carbon metabolism in cancer",CH-OH donor oxidoreductase,Oxidoreductases,"6.00E+08, 6.00E+07, 5UKW, 2BHL, 2BH9",Modulator,1.0
"ErbB signaling pathway, Ras signaling pathway, Cell cycle, Axon guidance, Neurotrophin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Pathways in cancer, MicroRNAs in cancer, Chronic myeloid leukemia, Viral myocarditis",Kinase,Transferases,"6NPV, 6NPU, 6NPE, 6BL8, 6AMW",Inhibitor,1.0
"ErbB signaling pathway, Ras signaling pathway, Cell cycle, Axon guidance, Neurotrophin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Pathways in cancer, MicroRNAs in cancer, Chronic myeloid leukemia, Viral myocarditis",Kinase,Transferases,"6NPV, 6NPU, 6NPE, 6BL8, 6AMW",.,1.0
"ErbB signaling pathway, Ras signaling pathway, Cell cycle, Axon guidance, Neurotrophin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Pathways in cancer, MicroRNAs in cancer, Chronic myeloid leukemia, Viral myocarditis",Kinase,Transferases,"6NPV, 6NPU, 6NPE, 6BL8, 6AMW",Modulator,1.0
"ErbB signaling pathway, Ras signaling pathway, Cell cycle, Axon guidance, Neurotrophin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Pathways in cancer, MicroRNAs in cancer, Chronic myeloid leukemia, Viral myocarditis",mRNA target,Transferases,"6NPV, 6NPU, 6NPE, 6BL8, 6AMW",Inhibitor,0.0
"ErbB signaling pathway, Ras signaling pathway, Cell cycle, Axon guidance, Neurotrophin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Pathways in cancer, MicroRNAs in cancer, Chronic myeloid leukemia, Viral myocarditis",mRNA target,Transferases,"6NPV, 6NPU, 6NPE, 6BL8, 6AMW",.,0.0
"Cytokine-cytokine receptor interaction, Regulation of autophagy, PI3K-Akt signaling pathway, Toll-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Jak-STAT signaling pathway, Natural killer cell mediated cytotoxicity, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Influenza A, Herpes simplex infection, Autoimmune thyroid disease",Cytokine: interferon,,"4Z5R, 4YPG, 3SE3, 3S9D, 2LMS",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Transcriptional misregulation in cancer, Rheumatoid arthritis",Kinase,Transferases,"5T89, 5EX3, 5ABD, 4CL7, 4CKV",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Transcriptional misregulation in cancer, Rheumatoid arthritis",Kinase,Transferases,"5T89, 5EX3, 5ABD, 4CL7, 4CKV",Activator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Transcriptional misregulation in cancer, Rheumatoid arthritis",Kinase,Transferases,"5T89, 5EX3, 5ABD, 4CL7, 4CKV",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Focal adhesion, Transcriptional misregulation in cancer, Rheumatoid arthritis",Kinase,Transferases,"5T89, 5EX3, 5ABD, 4CL7, 4CKV",.,1.0
